Min depth	Ave depth	Std dev	W/n 20% of ave depth	1x	25x	100x
28235	29612.137931	1092.11896141	1.0	1.0	1.0	1.0
0	0.400943396226	1.35792539344	0.0	0.0801886792453	0.0	0.0
0	1.62394014963	8.63165463755	0.0	0.0416458852868	0.0351620947631	0.0
0	0.176366843034	0.56712293442	0.0	0.0881834215168	0.0	0.0
9172	20772.9146919	5026.94443009	0.649289099526	1.0	1.0	1.0
9938	21675.2627451	6725.4434944	0.669281045752	1.0	1.0	1.0
0	0.226723366159	1.83466869703	0.0	0.038048343778	0.0	0.0
6773	18762.548996	3342.48270356	0.803614457831	1.0	1.0	1.0
3166	17615.4543651	4585.45239864	0.590608465608	1.0	1.0	1.0
5049	18077.9971815	4633.69810801	0.632468996618	0.989853438557	0.989853438557	0.989853438557
11470	19060.8455648	2474.62140724	0.876834716018	1.0	1.0	1.0
0	1.87863247863	8.18789839832	0.0	0.0811965811966	0.0205128205128	0.0
0	0.427265170407	1.54036454927	0.0	0.0714879467997	0.0	0.0
12513	20145.864	3000.11735596	0.8496	1.0	1.0	1.0
0	0.0723606168446	0.586247420068	0.0	0.0460656385923	0.0	0.0
0	1.9547030275	6.17765495946	0.0203374162237	0.147446267622	0.0231107002542	0.0
0	0.902478017586	3.19197914621	0.0607513988809	0.12549960032	0.0	0.0
8493	17190.3700121	3384.50302848	0.82738814994	1.0	1.0	1.0
4121	12232.994429	5072.45922951	0.453110492108	1.0	1.0	1.0
1867	17864.5600711	4627.51108283	0.599314198628	1.0	1.0	1.0
0	840.155464641	2331.04219882	0.0	0.350672121566	0.219754529515	0.153711279953
8862	20122.9842661	3558.60168272	0.81995954147	1.0	1.0	1.0
7536	18328.9760274	3108.63078085	0.784246575342	1.0	1.0	1.0
5982	18121.4082222	3667.47757158	0.739333333333	1.0	1.0	1.0
7408	15042.897584	4768.90616604	0.558298319328	0.992121848739	0.947478991597	0.935399159664
0	0	0	0.0	0.0	0.0	0.0
8546	16143.5530726	3230.76128269	0.773044692737	1.0	1.0	1.0
0	0.458772958187	2.91921987597	0.0	0.0359515435717	0.0	0.0
0	0.890207715134	4.38142414735	0.040059347181	0.120919881306	0.0111275964392	0.0
15559	20984.7591036	2735.00989674	0.878618113912	1.0	1.0	1.0
0	0.276996805112	1.41046338317	0.0	0.0533546325879	0.0	0.0
3997	12937.38262	3687.51645633	0.481193255512	1.0	1.0	1.0
0	15239.9193548	6466.08530795	0.415053763441	0.951612903226	0.951612903226	0.951612903226
1230	14154.5280593	3790.59009317	0.553770086527	1.0	1.0	1.0
0	0	0	0.0	0.0	0.0	0.0
4447	14017.3967871	4219.62626888	0.523694779116	1.0	1.0	1.0
4826	13115.5621853	3205.15180107	0.591389728097	1.0	1.0	1.0
7284	14989.2650862	4939.84680814	0.497126436782	1.0	1.0	1.0
4	17686.6985372	3566.37546034	0.653169387322	1.0	0.998728005088	0.998728005088
7614	17938.9684311	3126.96352149	0.722257653061	1.0	1.0	1.0
0	0.025146484375	0.213331273958	0.0	0.0146484375	0.0	0.0
8410	17738.4827806	4128.16963269	0.829081632653	0.977678571429	0.977678571429	0.977678571429
6862	15563.2886076	3436.4145994	0.540506329114	1.0	1.0	1.0
0	0.0789473684211	0.269656599104	0.0	0.0789473684211	0.0	0.0
0	1.44506001847	5.00410552325	0.0	0.0923361034164	0.0212373037858	0.0
0	11661.6025082	4945.80834611	0.458560523446	0.970010905125	0.916575790622	0.916575790622
0	0.00751010976314	0.0863348597873	0.0	0.00751010976314	0.0	0.0
5107	18286.1924086	5688.33666427	0.485024154589	1.0	1.0	1.0
13064	17339.5638629	2378.71091228	0.993769470405	1.0	1.0	1.0
0	1.91330343797	9.39030537185	0.0	0.039860488291	0.039860488291	0.0
3928	16844.8285554	4613.19807481	0.636312535132	1.0	1.0	1.0
6153	16404.7783461	4051.34436187	0.566922421142	1.0	1.0	1.0
5309	15829.7324183	4466.21250415	0.576732026144	1.0	1.0	1.0
8043	19338.1934484	3445.11258079	0.772023019035	1.0	1.0	1.0
2836	14491.6426197	3948.55092642	0.582209188661	1.0	1.0	1.0
0	0.0377777777778	0.386890101472	0.0	0.00944444444444	0.0	0.0
7261	14725.3735692	2600.30909166	0.803329864724	1.0	1.0	1.0
3066	14106.6096745	3795.27224034	0.599897079635	1.0	1.0	1.0
0	1.11524163569	6.09083274512	0.0	0.0551425030979	0.0281908302354	0.0
3232	12521.6936431	2951.76176522	0.631447483452	1.0	1.0	1.0
8853	13389.3600629	3715.92047715	0.611373165618	0.994496855346	0.994496855346	0.97641509434
4348	12848.7579288	4076.53615618	0.43430420712	1.0	1.0	1.0
4623	14826.5060767	4359.9522866	0.541913368651	1.0	1.0	1.0
9496	16831.0529747	2898.17520892	0.786471067645	1.0	1.0	1.0
13311	25303.9254288	4397.60821124	0.768083519761	1.0	1.0	1.0
7227	18725.4852599	4261.30318951	0.77501939488	1.0	1.0	1.0
4966	13946.301719	3595.26948834	0.653526970954	0.98132780083	0.98132780083	0.98132780083
5748	14466.4605937	3239.8309893	0.716137836916	1.0	1.0	1.0
0	1.61213461066	9.84481105601	0.0	0.0311962662736	0.0235814296242	0.0
0	2.71418732782	8.30978992737	0.0371900826446	0.177685950413	0.0454545454545	0.0
5631	17592.0263332	3851.25492551	0.679364027824	1.0	1.0	1.0
2925	16248.5488923	4534.17239445	0.647058823529	1.0	1.0	1.0
1480	13799.8421372	4436.2932492	0.377049180328	1.0	1.0	1.0
0	0.0219272937103	0.205474361226	0.0	0.0115406809002	0.0	0.0
0	0.0179775280899	0.179613691423	0.0	0.014606741573	0.0	0.0
4837	14008.6479401	3439.28564398	0.614452522582	1.0	1.0	1.0
3616	15252.6465194	4307.58187763	0.574406002501	1.0	1.0	1.0
0	0.174868461777	0.681406077892	0.0	0.0665428659858	0.0	0.0
2723	16102.1233002	4043.11248678	0.601874071535	1.0	1.0	1.0
2263	11259.8814318	4438.97600848	0.390380313199	1.0	1.0	1.0
0	12.600886025	31.4263644512	0.049536850584	0.346757954088	0.154651631091	0.0596053161498
3762	14844.2889038	3716.01780554	0.60645595158	0.988702084734	0.988702084734	0.988702084734
7337	9596.46417445	1576.66378011	0.895638629283	1.0	1.0	1.0
15365	18690.6167979	1875.18976401	1.0	1.0	1.0	1.0
